DATE and TIME (UTC) 	LAT  	LON  	MAG  	DEPTH	  LOCATION    	  IRIS ID
				km	   (Shows interactive map)  	  (Other info)
1/11/19 23:02	-1.68 	-78.05 	4.6 	146 	ECUADOR	  10994702
1/11/19 23:18	-60.13 	-27.19 	4.5 	10 	SOUTH SANDWICH ISLANDS REGION	  10999601
1/12/19 0:09	-19.01 	169.56 	4.6 	246 	VANUATU ISLANDS	  11002045
1/12/19 0:18	-20.33 	-177.59 	4.2 	476 	FIJI ISLANDS REGION	  11002039
1/12/19 1:10	-8.06 	118.78 	4.6 	10 	"SUMBAWA REGION, INDONESIA"	  11000927
1/12/19 4:32	39.64 	75.70 	5.3 	19 	"SOUTHERN XINJIANG, CHINA"	  10995047
1/12/19 5:01	-26.66 	-176.19 	4.5 	10 	SOUTH OF FIJI ISLANDS	  11002115
1/12/19 6:01	-26.23 	-70.70 	4.2 	64 	NEAR COAST OF NORTHERN CHILE	  11002118
1/12/19 6:03	-26.82 	-175.85 	5.2 	10 	SOUTH OF TONGA ISLANDS	  10995074
1/12/19 6:04	-5.53 	131.39 	4.6 	69 	BANDA SEA	  10995069
1/12/19 6:24	-25.34 	178.41 	4.0 	595 	SOUTH OF FIJI ISLANDS	  11002120
1/12/19 6:30	-26.77 	-175.90 	4.7 	10 	SOUTH OF TONGA ISLANDS	  11002121
1/12/19 6:48	-18.06 	-177.92 	4.9 	583 	FIJI ISLANDS REGION	  10995079
1/12/19 7:27	-26.66 	-175.88 	4.9 	10 	SOUTH OF TONGA ISLANDS	  10995089
1/12/19 8:09	85.85 	24.69 	4.0 	10 	NORTH OF SVALBARD	  11002254
1/12/19 9:56	-26.67 	-176.37 	4.4 	10 	SOUTH OF FIJI ISLANDS	  11004399
1/12/19 9:59	-26.75 	-176.46 	4.2 	10 	SOUTH OF FIJI ISLANDS	  11004403
1/12/19 11:19	53.07 	159.28 	5.0 	76 	NEAR EAST COAST OF KAMCHATKA	  10995117
1/12/19 12:04	-6.84 	104.19 	5.1 	39 	"SUNDA STRAIT, INDONESIA"	  10995122
1/12/19 12:54	-7.61 	127.48 	4.7 	155 	BANDA SEA	  10995130
1/12/19 13:20	18.06 	120.58 	4.7 	49 	"LUZON, PHILIPPINES"	  10995133
1/12/19 13:57	-5.92 	151.72 	4.6 	10 	"NEW BRITAIN REGION, P.N.G."	  11004466
1/12/19 14:13	-8.50 	119.71 	4.6 	91 	"FLORES REGION, INDONESIA"	  10995156
1/12/19 14:45	-56.27 	-26.96 	4.4 	75 	SOUTH SANDWICH ISLANDS REGION	  11004467
1/12/19 16:22	-19.16 	-177.47 	4.7 	572 	FIJI ISLANDS REGION	  10995166
1/12/19 16:56	-4.82 	145.20 	4.5 	130 	"NEAR N COAST OF NEW GUINEA, PNG."	  11004470
1/12/19 17:13	-5.85 	152.22 	5.3 	10 	"NEW BRITAIN REGION, P.N.G."	  10995174
1/12/19 17:14	69.13 	-144.65 	4.2 	13 	NORTHERN ALASKA	  10995175
1/12/19 17:15	-5.75 	152.13 	5.2 	27 	"NEW BRITAIN REGION, P.N.G."	  11001217
1/12/19 18:51	13.34 	-90.63 	4.3 	44 	NEAR COAST OF GUATEMALA	  10995190
1/12/19 19:02	-8.83 	67.90 	4.6 	10 	MID-INDIAN RIDGE	  10995249
1/12/19 19:42	-5.43 	151.36 	4.6 	55 	"NEW BRITAIN REGION, P.N.G."	  11000952
1/12/19 20:16	21.59 	143.07 	4.3 	337 	MARIANA ISLANDS REGION	  11000953
1/12/19 20:18	-6.56 	130.55 	4.4 	113 	BANDA SEA	  10995301
1/12/19 20:40	37.49 	20.40 	4.5 	10 	IONIAN SEA	  10995277
1/12/19 20:54	-7.54 	128.03 	4.2 	161 	BANDA SEA	  11000957
1/12/19 21:48	-7.23 	129.21 	5.0 	117 	BANDA SEA	  10995223
1/13/19 0:29	16.02 	-95.01 	4.1 	42 	"OAXACA, MEXICO"	  11003372
1/13/19 0:34	-27.25 	-177.35 	4.9 	10 	KERMADEC ISLANDS REGION	  10995257
1/13/19 1:16	3.63 	128.64 	5.1 	10 	"NORTH OF HALMAHERA, INDONESIA"	  10995262
1/13/19 1:20	3.67 	128.75 	5.0 	10 	"NORTH OF HALMAHERA, INDONESIA"	  10995263
1/13/19 2:55	3.67 	128.76 	4.6 	10 	"NORTH OF HALMAHERA, INDONESIA"	  10995275
1/13/19 3:36	2.66 	128.41 	4.1 	55 	"HALMAHERA, INDONESIA"	  11001222
1/13/19 4:17	56.22 	162.57 	4.1 	70 	NEAR EAST COAST OF KAMCHATKA	  10995322
1/13/19 5:13	50.46 	148.95 	4.5 	571 	SEA OF OKHOTSK	  10995312
1/13/19 7:33	30.07 	138.81 	4.5 	424 	"SOUTHEAST OF HONSHU, JAPAN"	  10995342
1/13/19 8:27	36.24 	25.32 	4.2 	10 	"DODECANESE ISLANDS, GREECE"	  10995355
1/13/19 9:01	39.64 	75.41 	4.2 	35 	"SOUTHERN XINJIANG, CHINA"	  10995372
1/13/19 9:35	40.37 	-124.99 	4.1 	-0 	NEAR COAST OF NORTHERN CALIF.	  10995361
1/13/19 10:29	-18.16 	-178.17 	4.4 	563 	FIJI ISLANDS REGION	  11002257
1/13/19 10:54	37.32 	141.19 	4.5 	42 	"NEAR EAST COAST OF HONSHU, JAPAN"	  11002261
1/13/19 11:29	2.34 	126.71 	4.3 	62 	NORTHERN MOLUCCA SEA	  11002262
1/13/19 11:30	2.42 	126.95 	4.4 	61 	NORTHERN MOLUCCA SEA	  11002263
1/13/19 11:38	-7.95 	120.50 	4.2 	228 	FLORES SEA	  11002278
1/13/19 12:08	-59.09 	-25.55 	4.6 	76 	SOUTH SANDWICH ISLANDS REGION	  11002280
1/13/19 12:14	37.28 	141.36 	4.8 	10 	"NEAR EAST COAST OF HONSHU, JAPAN"	  10995386
1/13/19 12:27	2.40 	126.87 	4.6 	58 	NORTHERN MOLUCCA SEA	  10995394
1/13/19 12:40	-10.08 	161.39 	5.3 	93 	SOLOMON ISLANDS	  10995392
